,alternateCandidates,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
19,,0,CDS-PP,0,0,1,0,2.72,0,320,Castelo de Paiva,Aveiro,0,98,0.83,,False,118,1.0,9,11779,78.67,Paulo Fernando Nogueira Martel da Silva,2009
20,,0,PCP-PEV,0,0,1,0,0.82,0,97,Castelo de Paiva,Aveiro,0,98,0.83,,False,118,1.0,9,11779,78.67,Manuel da Rocha Vieira,2009
21,,3,PPD/PSD,0,0,1,3,46.66,0,5496,Castelo de Paiva,Aveiro,0,98,0.83,,False,118,1.0,9,11779,78.67,Paulo Ramalheira Teixeira,2009
22,,4,PS,1,1,1,4,46.73,1,5504,Castelo de Paiva,Aveiro,0,98,0.83,,False,118,1.0,9,11779,78.67,Gonçalo Fernando da Rocha de Jesus,2009
23,,0,B.E.,0,0,1,0,3.43,0,710,Espinho,Aveiro,0,444,2.14,,False,263,1.27,5,20708,65.65,Carlos Alberto Silva,2009
24,,0,CDS-PP,0,0,1,0,9.19,0,1903,Espinho,Aveiro,0,444,2.14,,False,263,1.27,5,20708,65.65,Marques Baptista,2009
25,,0,PCP-PEV,0,0,1,0,6.55,0,1356,Espinho,Aveiro,0,444,2.14,,False,263,1.27,5,20708,65.65,Fausto Neves,2009
26,,4,PPD/PSD,1,1,1,4,39.11,1,8099,Espinho,Aveiro,0,444,2.14,,False,263,1.27,5,20708,65.65,Pinto Moreira,2009
27,,3,PS,0,0,1,3,38.31,0,7933,Espinho,Aveiro,0,444,2.14,,False,263,1.27,5,20708,65.65,José Mota,2009
28,,0,PCP-PEV,0,0,1,0,4.36,0,617,Estarreja,Aveiro,0,232,1.64,,False,187,1.32,7,14160,56.33,António Manuel de Figueiredo Vidal,2009
29,,5,PPD/PSD.CDS-PP,1,1,1,5,64.15,1,9083,Estarreja,Aveiro,0,232,1.64,,False,187,1.32,7,14160,56.33,José Eduardo Alves Valente de Matos,2009
30,,2,PS,0,0,1,2,28.54,0,4041,Estarreja,Aveiro,0,232,1.64,,False,187,1.32,7,14160,56.33,Fernando Manuel Mendonça Albergaria Matos,2009
31,,5,PS,1,1,1,5,61.26,1,6517,Mealhada,Aveiro,0,311,2.92,,False,149,1.4,8,10639,57.29,Carlos Alberto da Costa Cabral,2009
32,,0,CDS-PP,0,0,1,0,2.18,0,112,Murtosa,Aveiro,0,83,1.62,,False,63,1.23,4,5133,52.15,Ana Sofia Ribeiro Brandão,2009
33,,0,PCP-PEV,0,0,1,0,1.62,0,83,Murtosa,Aveiro,0,83,1.62,,False,63,1.23,4,5133,52.15,Jorge Augusto Portela Vieira,2009
34,,4,PPD/PSD,1,1,1,4,66.3,1,3403,Murtosa,Aveiro,0,83,1.62,,False,63,1.23,4,5133,52.15,António Maria dos Santos Sousa,2009
35,,1,PS,0,0,1,1,27.06,0,1389,Murtosa,Aveiro,0,83,1.62,,False,63,1.23,4,5133,52.15,Ana Maria Farelo Mendes Silva Rebimbas,2009
36,,0,B.E.,0,0,1,0,2.39,0,938,Oliveira de Azeméis,Aveiro,0,700,1.78,,False,463,1.18,19,39239,64.39,Cláudia Patrícia de Pinho Ribeiro,2009
37,,0,CDS-PP,0,0,1,0,7.46,0,2928,Oliveira de Azeméis,Aveiro,0,700,1.78,,False,463,1.18,19,39239,64.39,António Pinto Moreira,2009
38,,0,PCP-PEV,0,0,1,0,1.79,0,703,Oliveira de Azeméis,Aveiro,0,700,1.78,,False,463,1.18,19,39239,64.39,António Costa Alves,2009
39,,5,PPD/PSD,1,1,1,5,44.83,1,17590,Oliveira de Azeméis,Aveiro,0,700,1.78,,False,463,1.18,19,39239,64.39,Hermínio José Sobral de Loureiro Gonçalves,2009
40,,4,PS,0,0,1,4,40.56,0,15917,Oliveira de Azeméis,Aveiro,0,700,1.78,,False,463,1.18,19,39239,64.39,Maria Helena Terra de Oliveira,2009
41,,2,CDS-PP,0,0,1,2,31.49,0,3658,Oliveira do Bairro,Aveiro,0,179,1.54,,False,166,1.43,6,11615,58.01,Acílio Domingues Gala,2009
42,,0,PCP-PEV,0,0,1,0,1.22,0,142,Oliveira do Bairro,Aveiro,0,179,1.54,,False,166,1.43,6,11615,58.01,Artur Pereira Ramísio,2009
43,,4,PPD/PSD,1,1,1,4,53.58,1,6223,Oliveira do Bairro,Aveiro,0,179,1.54,,False,166,1.43,6,11615,58.01,Mário João Ferreira da Silva Oliveira,2009
44,,1,PS,0,0,1,1,10.74,0,1247,Oliveira do Bairro,Aveiro,0,179,1.54,,False,166,1.43,6,11615,58.01,Henrique Santiago Tomás,2009
45,,0,B.E.,0,0,1,0,9.4,0,2657,Ovar,Aveiro,0,605,2.14,,False,368,1.3,8,28252,58.79,José David Mendes de Almeida,2009
46,,0,PCP-PEV,0,0,1,0,4.86,0,1373,Ovar,Aveiro,0,605,2.14,,False,368,1.3,8,28252,58.79,José dos Santos Cardoso Macedo,2009
47,,3,PPD/PSD.CDS-PP,0,0,1,3,33.31,0,9412,Ovar,Aveiro,0,605,2.14,,False,368,1.3,8,28252,58.79,Álvaro Manuel Reis Santos,2009
48,,4,PS,1,1,1,4,48.98,1,13837,Ovar,Aveiro,0,605,2.14,,False,368,1.3,8,28252,58.79,Manuel Alves de Oliveira,2009
49,,0,B.E.,0,0,1,0,2.59,0,2049,Santa Maria da Feira,Aveiro,0,1351,1.71,,False,787,1.0,31,79075,65.02,Joaquim Manuel de Oliveira Dias,2009
50,,0,CDS-PP,0,0,1,0,3.5,0,2767,Santa Maria da Feira,Aveiro,0,1351,1.71,,False,787,1.0,31,79075,65.02,Manuel José Alferes Pereira,2009
51,,0,PCP-PEV,0,0,1,0,2.52,0,1995,Santa Maria da Feira,Aveiro,0,1351,1.71,,False,787,1.0,31,79075,65.02,Antero de Oliveira Resende,2009
52,,6,PPD/PSD,1,1,1,6,48.07,1,38008,Santa Maria da Feira,Aveiro,0,1351,1.71,,False,787,1.0,31,79075,65.02,Alfredo Oliveira Henriques,2009
53,,5,PS,0,0,1,5,40.62,0,32118,Santa Maria da Feira,Aveiro,0,1351,1.71,,False,787,1.0,31,79075,65.02,Alcides Alves Branco de Carvalho,2009
54,,0,CDS-PP,0,0,1,0,3.71,0,314,Sever do Vouga,Aveiro,0,120,1.42,,False,93,1.1,9,8456,69.57,António José Cardoso de Barros,2009
55,,2,IV,0,0,1,2,25.66,0,2170,Sever do Vouga,Aveiro,0,120,1.42,,False,93,1.1,9,8456,69.57,João Miguel Tavares de Almeida,2009
56,,0,PCP-PEV,0,0,1,0,1.36,0,115,Sever do Vouga,Aveiro,0,120,1.42,,False,93,1.1,9,8456,69.57,António José Tavares de Bastos,2009
57,,1,PPD/PSD,0,0,1,1,20.16,0,1705,Sever do Vouga,Aveiro,0,120,1.42,,False,93,1.1,9,8456,69.57,Acácio Rodrigues Barbosa,2009
58,,4,PS,1,1,1,4,46.58,1,3939,Sever do Vouga,Aveiro,0,120,1.42,,False,93,1.1,9,8456,69.57,Manuel Silva Soares,2009
59,,0,B.E.,0,0,1,0,2.66,0,310,São João da Madeira,Aveiro,0,144,1.24,,False,99,0.85,1,11658,58.35,Pedro da Costa Pardal,2009
60,,0,CDS-PP,0,0,1,0,7.15,0,833,São João da Madeira,Aveiro,0,144,1.24,,False,99,0.85,1,11658,58.35,Dina Maria da Costa de Pinho Rocha,2009
61,,0,PCP-PEV,0,0,1,0,5.76,0,672,São João da Madeira,Aveiro,0,144,1.24,,False,99,0.85,1,11658,58.35,Jorge Manuel de Resende Cortez,2009
62,,5,PPD/PSD,1,1,1,5,55.95,1,6523,São João da Madeira,Aveiro,0,144,1.24,,False,99,0.85,1,11658,58.35,Manuel Castro de Almeida,2009
63,,2,PS,0,0,1,2,26.39,0,3077,São João da Madeira,Aveiro,0,144,1.24,,False,99,0.85,1,11658,58.35,Pedro Nuno de Oliveira Santos,2009
64,,0,PCP-PEV,0,0,1,0,2.25,0,274,Vagos,Aveiro,0,202,1.66,,False,205,1.68,11,12186,57.33,Manuel Mário Domingos,2009
65,,5,PPD/PSD,1,1,1,5,63.42,1,7728,Vagos,Aveiro,0,202,1.66,,False,205,1.68,11,12186,57.33,Rui Miguel Rocha da Cruz,2009
66,,2,X,0,0,1,2,30.99,0,3777,Vagos,Aveiro,0,202,1.66,,False,205,1.68,11,12186,57.33,Mário dos Santos Martins Júnior,2009
67,,3,CDS-PP,0,0,1,3,37.59,0,5652,Vale de Cambra,Aveiro,0,250,1.66,,False,245,1.63,9,15034,66.31,José Alberto Freitas Soares Pinheiro e Silva,2009
68,,0,PCP-PEV,0,0,1,0,2.19,0,329,Vale de Cambra,Aveiro,0,250,1.66,,False,245,1.63,9,15034,66.31,João Pedro Tavares Martins,2009
