,votesAbsoluteMajority,votesMandates,votesPercentage,votesPresidents,votesVotes,county,district,availableMandates,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidate,year,votesValidVotesPercentage,coalition,parties
29,True,5,64.1454802259887,True,9083,Estarreja,Aveiro,False,232,1.6384180790960452,187,1.3206214689265536,7,14160,56.33,José Eduardo Alves Valente de Matos,2009,66.10144822065351,PPD/PSD.CDS-PP,"['CDS-PP', 'PPD/PSD']"
30,False,2,28.53813559322034,False,4041,Estarreja,Aveiro,False,232,1.6384180790960452,187,1.3206214689265536,7,14160,56.33,Fernando Manuel Mendonça Albergaria Matos,2009,29.408340004366494,PS,['PS']
31,True,5,61.255757120030076,True,6517,Mealhada,Aveiro,False,311,2.92320706833349,149,1.400507566500611,8,10639,57.29,Carlos Alberto da Costa Cabral,2009,64.02397092052264,PS,['PS']
32,False,0,2.181959867523865,False,112,Murtosa,Aveiro,False,83,1.616988116111436,63,1.2273524254821742,4,5133,52.15,Ana Sofia Ribeiro Brandão,2009,2.2458391818728694,CDS-PP,['CDS-PP']
33,False,0,1.616988116111436,False,83,Murtosa,Aveiro,False,83,1.616988116111436,63,1.2273524254821742,4,5133,52.15,Jorge Augusto Portela Vieira,2009,1.664327250852216,PCP-PEV,['PCP-PEV']
34,True,4,66.29651276056887,True,3403,Murtosa,Aveiro,False,83,1.616988116111436,63,1.2273524254821742,4,5133,52.15,António Maria dos Santos Sousa,2009,68.23741728494085,PPD/PSD,['PPD/PSD']
35,False,1,27.060198714202222,False,1389,Murtosa,Aveiro,False,83,1.616988116111436,63,1.2273524254821742,4,5133,52.15,Ana Maria Farelo Mendes Silva Rebimbas,2009,27.85241628233407,PS,['PS']
36,False,0,2.390478860317541,False,938,Oliveira de Azeméis,Aveiro,False,700,1.783939447998165,463,1.1799485206045006,19,39239,64.39,Cláudia Patrícia de Pinho Ribeiro,2009,2.463494064502574,BE,['BE']
37,False,0,7.461963862483753,False,2928,Oliveira de Azeméis,Aveiro,False,700,1.783939447998165,463,1.1799485206045006,19,39239,64.39,António Pinto Moreira,2009,7.689883391112512,CDS-PP,['CDS-PP']
38,False,0,1.7915849027753001,False,703,Oliveira de Azeméis,Aveiro,False,700,1.783939447998165,463,1.1799485206045006,19,39239,64.39,António Costa Alves,2009,1.8463073852295409,PCP-PEV,['PCP-PEV']
39,True,5,44.827849843268176,True,17590,Oliveira de Azeméis,Aveiro,False,700,1.783939447998165,463,1.1799485206045006,19,39239,64.39,Hermínio José Sobral de Loureiro Gonçalves,2009,46.197079525160206,PPD/PSD,['PPD/PSD']
40,False,4,40.56423456255256,False,15917,Oliveira de Azeméis,Aveiro,False,700,1.783939447998165,463,1.1799485206045006,19,39239,64.39,Maria Helena Terra de Oliveira,2009,41.803235633995165,PS,['PS']
41,False,2,31.49375807145932,False,3658,Oliveira do Bairro,Aveiro,False,179,1.5411106328024107,166,1.4291863969005596,6,11615,58.01,Acílio Domingues Gala,2009,32.45785270629991,CDS-PP,['CDS-PP']
42,False,0,1.2225570383125268,False,142,Oliveira do Bairro,Aveiro,False,179,1.5411106328024107,166,1.4291863969005596,6,11615,58.01,Artur Pereira Ramísio,2009,1.2599822537710736,PCP-PEV,['PCP-PEV']
43,True,4,53.577270770555316,True,6223,Oliveira do Bairro,Aveiro,False,179,1.5411106328024107,166,1.4291863969005596,6,11615,58.01,Mário João Ferreira da Silva Oliveira,2009,55.21739130434783,PPD/PSD,['PPD/PSD']
44,False,1,10.736117089969866,False,1247,Oliveira do Bairro,Aveiro,False,179,1.5411106328024107,166,1.4291863969005596,6,11615,58.01,Henrique Santiago Tomás,2009,11.06477373558119,PS,['PS']
45,False,0,9.404643919014582,False,2657,Ovar,Aveiro,False,605,2.141441313889282,368,1.3025626504318277,8,28252,58.79,José David Mendes de Almeida,2009,9.740093111917593,BE,['BE']
46,False,0,4.859832932181792,False,1373,Ovar,Aveiro,False,605,2.141441313889282,368,1.3025626504318277,8,28252,58.79,José dos Santos Cardoso Macedo,2009,5.033175702921661,PCP-PEV,['PCP-PEV']
47,False,3,33.31445561376186,False,9412,Ovar,Aveiro,False,605,2.141441313889282,368,1.3025626504318277,8,28252,58.79,Álvaro Manuel Reis Santos,2009,34.502731038527806,PPD/PSD.CDS-PP,"['CDS-PP', 'PPD/PSD']"
48,True,4,48.97706357072066,True,13837,Ovar,Aveiro,False,605,2.141441313889282,368,1.3025626504318277,8,28252,58.79,Manuel Alves de Oliveira,2009,50.72400014663294,PS,['PS']
49,False,0,2.5912108757508694,False,2049,Santa Maria da Feira,Aveiro,False,1351,1.7085045842554536,787,0.9952576667720519,31,79075,65.02,Joaquim Manuel de Oliveira Dias,2009,2.6632179575496835,BE,['BE']
50,False,0,3.4992096111286752,False,2767,Santa Maria da Feira,Aveiro,False,1351,1.7085045842554536,787,0.9952576667720519,31,79075,65.02,Manuel José Alferes Pereira,2009,3.596449042723267,CDS-PP,['CDS-PP']
51,False,0,2.522921277268416,False,1995,Santa Maria da Feira,Aveiro,False,1351,1.7085045842554536,787,0.9952576667720519,31,79075,65.02,Antero de Oliveira Resende,2009,2.5930306614502774,PCP-PEV,['PCP-PEV']
52,True,6,48.065760354094216,True,38008,Santa Maria da Feira,Aveiro,False,1351,1.7085045842554536,787,0.9952576667720519,31,79075,65.02,Alfredo Oliveira Henriques,2009,49.40145833604117,PPD/PSD,['PPD/PSD']
53,False,5,40.61713563073032,False,32118,Santa Maria da Feira,Aveiro,False,1351,1.7085045842554536,787,0.9952576667720519,31,79075,65.02,Alcides Alves Branco de Carvalho,2009,41.74584400223559,PS,['PS']
54,False,0,3.7133396404919585,False,314,Sever do Vouga,Aveiro,False,120,1.4191106906338695,93,1.0998107852412489,9,8456,69.57,António José Cardoso de Barros,2009,3.809292733228194,CDS-PP,['CDS-PP']
55,False,2,25.662251655629138,False,2170,Sever do Vouga,Aveiro,False,120,1.4191106906338695,93,1.0998107852412489,9,8456,69.57,João Miguel Tavares de Almeida,2009,26.325366978041977,IV,['IV']
56,False,0,1.3599810785241249,False,115,Sever do Vouga,Aveiro,False,120,1.4191106906338695,93,1.0998107852412489,9,8456,69.57,António José Tavares de Bastos,2009,1.3951231347810262,PCP-PEV,['PCP-PEV']
57,False,1,20.163197729422894,False,1705,Sever do Vouga,Aveiro,False,120,1.4191106906338695,93,1.0998107852412489,9,8456,69.57,Acácio Rodrigues Barbosa,2009,20.684216911318696,PPD/PSD,['PPD/PSD']
58,True,4,46.58230842005677,True,3939,Sever do Vouga,Aveiro,False,120,1.4191106906338695,93,1.0998107852412489,9,8456,69.57,Manuel Silva Soares,2009,47.78600024263011,PS,['PS']
59,False,0,2.659118202092983,False,310,São João da Madeira,Aveiro,False,144,1.2352032938754505,99,0.8492022645393721,1,11658,58.35,Pedro da Costa Pardal,2009,2.7157249233464738,BE,['BE']
60,False,0,7.145307943043404,False,833,São João da Madeira,Aveiro,False,144,1.2352032938754505,99,0.8492022645393721,1,11658,58.35,Dina Maria da Costa de Pinho Rocha,2009,7.297415681121332,CDS-PP,['CDS-PP']
61,False,0,5.764282038085435,False,672,São João da Madeira,Aveiro,False,144,1.2352032938754505,99,0.8492022645393721,1,11658,58.35,Jorge Manuel de Resende Cortez,2009,5.886990801576872,PCP-PEV,['PCP-PEV']
62,True,5,55.952993652427516,True,6523,São João da Madeira,Aveiro,False,144,1.2352032938754505,99,0.8492022645393721,1,11658,58.35,Manuel Castro de Almeida,2009,57.14410862899694,PPD/PSD,['PPD/PSD']
63,False,2,26.393892605935836,False,3077,São João da Madeira,Aveiro,False,144,1.2352032938754505,99,0.8492022645393721,1,11658,58.35,Pedro Nuno de Oliveira Santos,2009,26.955759964958386,PS,['PS']
64,False,0,2.2484818644345967,False,274,Vagos,Aveiro,False,202,1.657639914656163,205,1.6822583292302642,11,12186,57.33,Manuel Mário Domingos,2009,2.3261736989557686,PCP-PEV,['PCP-PEV']
65,True,5,63.41703594288528,True,7728,Vagos,Aveiro,False,202,1.657639914656163,205,1.6822583292302642,11,12186,57.33,Rui Miguel Rocha da Cruz,2009,65.6082859325919,PPD/PSD,['PPD/PSD']
66,False,2,30.994583948793696,False,3777,Vagos,Aveiro,False,202,1.657639914656163,205,1.6822583292302642,11,12186,57.33,Mário dos Santos Martins Júnior,2009,32.065540368452325,X,['X']
67,False,3,37.59478515365172,False,5652,Vale de Cambra,Aveiro,False,250,1.6628974324863641,245,1.6296394838366368,9,15034,66.31,José Alberto Freitas Soares Pinheiro e Silva,2009,38.874750670610084,CDS-PP,['CDS-PP']
68,False,0,2.1883730211520556,False,329,Vale de Cambra,Aveiro,False,250,1.6628974324863641,245,1.6296394838366368,9,15034,66.31,João Pedro Tavares Martins,2009,2.262879152623977,PCP-PEV,['PCP-PEV']
69,True,4,46.16868431555142,True,6941,Vale de Cambra,Aveiro,False,250,1.6628974324863641,245,1.6296394838366368,9,15034,66.31,José António Bastos da Silva,2009,47.740559873443836,PPD/PSD,['PPD/PSD']
70,False,0,10.755620593321803,False,1617,Vale de Cambra,Aveiro,False,250,1.6628974324863641,245,1.6296394838366368,9,15034,66.31,Carlos Gabriel Almeida Amorim,2009,11.1218103033221,PS,['PS']
71,False,0,1.278934968774541,False,342,Águeda,Aveiro,False,454,1.6977674731685426,253,0.9461127108185932,20,26741,60.96,Vítor Manuel Aguiar Gomes,2009,1.3136667434892833,BE,['BE']
72,False,0,5.156875210351146,False,1379,Águeda,Aveiro,False,454,1.6977674731685426,253,0.9461127108185932,20,26741,60.96,José Carlos Esmeraldo dos Santos,2009,5.2969194130752095,CDS-PP,['CDS-PP']
73,False,0,1.9034441494334542,False,509,Águeda,Aveiro,False,454,1.6977674731685426,253,0.9461127108185932,20,26741,60.96,Nelson Manuel Nunes Leal,2009,1.9551355919182607,PCP-PEV,['PCP-PEV']
