,alternateCandidates,effectiveCandidates,mandates,party,presidents,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
13,,['José Artur Tavares Neves'],5,PS,1,1,PS,1,5,58.52,1,8985,"{'availableMandates': 0, 'blankVotes': 209, 'blankVotesPercentage': 1.36, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.52, 'numberParishes': 20, 'numberVoters': 15354, 'percentageVoters': 71.64}",Arouca,Aveiro,0,209,1.36,,False,234,1.52,20,15354,71.64
14,,['Catarina Sofia Esteves Antunes Morais Gomes'],0,B.E.,0,0,B.E.,1,0,5.07,0,1814,"{'availableMandates': 0, 'blankVotes': 1067, 'blankVotesPercentage': 2.98, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 489, 'nullVotesPercentage': 1.37, 'numberParishes': 14, 'numberVoters': 35773, 'percentageVoters': 53.08}",Aveiro,Aveiro,0,1067,2.98,,False,489,1.37,14,35773,53.08
15,,['António Manuel Brito Moreira'],0,PCP-PEV,0,0,PCP-PEV,1,0,3.66,0,1311,"{'availableMandates': 0, 'blankVotes': 1067, 'blankVotesPercentage': 2.98, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 489, 'nullVotesPercentage': 1.37, 'numberParishes': 14, 'numberVoters': 35773, 'percentageVoters': 53.08}",Aveiro,Aveiro,0,1067,2.98,,False,489,1.37,14,35773,53.08
16,,['Élio Manuel Delgado da Maia'],6,PPD/PSD.CDS-PP,1,1,PPD/PSD.CDS-PP,1,6,53.79,1,19243,"{'availableMandates': 0, 'blankVotes': 1067, 'blankVotesPercentage': 2.98, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 489, 'nullVotesPercentage': 1.37, 'numberParishes': 14, 'numberVoters': 35773, 'percentageVoters': 53.08}",Aveiro,Aveiro,0,1067,2.98,,False,489,1.37,14,35773,53.08
17,,['José da Cruz Costa'],3,PS,0,0,PS,1,3,33.12,0,11849,"{'availableMandates': 0, 'blankVotes': 1067, 'blankVotesPercentage': 2.98, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 489, 'nullVotesPercentage': 1.37, 'numberParishes': 14, 'numberVoters': 35773, 'percentageVoters': 53.08}",Aveiro,Aveiro,0,1067,2.98,,False,489,1.37,14,35773,53.08
18,,['Bruno Sérgio Gomes Soares'],0,B.E.,0,0,B.E.,1,0,1.24,0,146,"{'availableMandates': 0, 'blankVotes': 98, 'blankVotesPercentage': 0.83, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 118, 'nullVotesPercentage': 1.0, 'numberParishes': 9, 'numberVoters': 11779, 'percentageVoters': 78.67}",Castelo de Paiva,Aveiro,0,98,0.83,,False,118,1.0,9,11779,78.67
19,,['Paulo Fernando Nogueira Martel da Silva'],0,CDS-PP,0,0,CDS-PP,1,0,2.72,0,320,"{'availableMandates': 0, 'blankVotes': 98, 'blankVotesPercentage': 0.83, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 118, 'nullVotesPercentage': 1.0, 'numberParishes': 9, 'numberVoters': 11779, 'percentageVoters': 78.67}",Castelo de Paiva,Aveiro,0,98,0.83,,False,118,1.0,9,11779,78.67
20,,['Manuel da Rocha Vieira'],0,PCP-PEV,0,0,PCP-PEV,1,0,0.82,0,97,"{'availableMandates': 0, 'blankVotes': 98, 'blankVotesPercentage': 0.83, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 118, 'nullVotesPercentage': 1.0, 'numberParishes': 9, 'numberVoters': 11779, 'percentageVoters': 78.67}",Castelo de Paiva,Aveiro,0,98,0.83,,False,118,1.0,9,11779,78.67
21,,['Paulo Ramalheira Teixeira'],3,PPD/PSD,0,0,PPD/PSD,1,3,46.66,0,5496,"{'availableMandates': 0, 'blankVotes': 98, 'blankVotesPercentage': 0.83, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 118, 'nullVotesPercentage': 1.0, 'numberParishes': 9, 'numberVoters': 11779, 'percentageVoters': 78.67}",Castelo de Paiva,Aveiro,0,98,0.83,,False,118,1.0,9,11779,78.67
22,,['Gonçalo Fernando da Rocha de Jesus'],4,PS,1,1,PS,1,4,46.73,1,5504,"{'availableMandates': 0, 'blankVotes': 98, 'blankVotesPercentage': 0.83, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 118, 'nullVotesPercentage': 1.0, 'numberParishes': 9, 'numberVoters': 11779, 'percentageVoters': 78.67}",Castelo de Paiva,Aveiro,0,98,0.83,,False,118,1.0,9,11779,78.67
23,,['Carlos Alberto Silva'],0,B.E.,0,0,B.E.,1,0,3.43,0,710,"{'availableMandates': 0, 'blankVotes': 444, 'blankVotesPercentage': 2.14, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 263, 'nullVotesPercentage': 1.27, 'numberParishes': 5, 'numberVoters': 20708, 'percentageVoters': 65.65}",Espinho,Aveiro,0,444,2.14,,False,263,1.27,5,20708,65.65
24,,['Marques Baptista'],0,CDS-PP,0,0,CDS-PP,1,0,9.19,0,1903,"{'availableMandates': 0, 'blankVotes': 444, 'blankVotesPercentage': 2.14, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 263, 'nullVotesPercentage': 1.27, 'numberParishes': 5, 'numberVoters': 20708, 'percentageVoters': 65.65}",Espinho,Aveiro,0,444,2.14,,False,263,1.27,5,20708,65.65
25,,['Fausto Neves'],0,PCP-PEV,0,0,PCP-PEV,1,0,6.55,0,1356,"{'availableMandates': 0, 'blankVotes': 444, 'blankVotesPercentage': 2.14, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 263, 'nullVotesPercentage': 1.27, 'numberParishes': 5, 'numberVoters': 20708, 'percentageVoters': 65.65}",Espinho,Aveiro,0,444,2.14,,False,263,1.27,5,20708,65.65
26,,['Pinto Moreira'],4,PPD/PSD,1,1,PPD/PSD,1,4,39.11,1,8099,"{'availableMandates': 0, 'blankVotes': 444, 'blankVotesPercentage': 2.14, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 263, 'nullVotesPercentage': 1.27, 'numberParishes': 5, 'numberVoters': 20708, 'percentageVoters': 65.65}",Espinho,Aveiro,0,444,2.14,,False,263,1.27,5,20708,65.65
27,,['José Mota'],3,PS,0,0,PS,1,3,38.31,0,7933,"{'availableMandates': 0, 'blankVotes': 444, 'blankVotesPercentage': 2.14, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 263, 'nullVotesPercentage': 1.27, 'numberParishes': 5, 'numberVoters': 20708, 'percentageVoters': 65.65}",Espinho,Aveiro,0,444,2.14,,False,263,1.27,5,20708,65.65
28,,['António Manuel de Figueiredo Vidal'],0,PCP-PEV,0,0,PCP-PEV,1,0,4.36,0,617,"{'availableMandates': 0, 'blankVotes': 232, 'blankVotesPercentage': 1.64, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 187, 'nullVotesPercentage': 1.32, 'numberParishes': 7, 'numberVoters': 14160, 'percentageVoters': 56.33}",Estarreja,Aveiro,0,232,1.64,,False,187,1.32,7,14160,56.33
29,,['José Eduardo Alves Valente de Matos'],5,PPD/PSD.CDS-PP,1,1,PPD/PSD.CDS-PP,1,5,64.15,1,9083,"{'availableMandates': 0, 'blankVotes': 232, 'blankVotesPercentage': 1.64, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 187, 'nullVotesPercentage': 1.32, 'numberParishes': 7, 'numberVoters': 14160, 'percentageVoters': 56.33}",Estarreja,Aveiro,0,232,1.64,,False,187,1.32,7,14160,56.33
30,,['Fernando Manuel Mendonça Albergaria Matos'],2,PS,0,0,PS,1,2,28.54,0,4041,"{'availableMandates': 0, 'blankVotes': 232, 'blankVotesPercentage': 1.64, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 187, 'nullVotesPercentage': 1.32, 'numberParishes': 7, 'numberVoters': 14160, 'percentageVoters': 56.33}",Estarreja,Aveiro,0,232,1.64,,False,187,1.32,7,14160,56.33
31,,['Carlos Alberto da Costa Cabral'],5,PS,1,1,PS,1,5,61.26,1,6517,"{'availableMandates': 0, 'blankVotes': 311, 'blankVotesPercentage': 2.92, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.4, 'numberParishes': 8, 'numberVoters': 10639, 'percentageVoters': 57.29}",Mealhada,Aveiro,0,311,2.92,,False,149,1.4,8,10639,57.29
32,,['Ana Sofia Ribeiro Brandão'],0,CDS-PP,0,0,CDS-PP,1,0,2.18,0,112,"{'availableMandates': 0, 'blankVotes': 83, 'blankVotesPercentage': 1.62, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 63, 'nullVotesPercentage': 1.23, 'numberParishes': 4, 'numberVoters': 5133, 'percentageVoters': 52.15}",Murtosa,Aveiro,0,83,1.62,,False,63,1.23,4,5133,52.15
33,,['Jorge Augusto Portela Vieira'],0,PCP-PEV,0,0,PCP-PEV,1,0,1.62,0,83,"{'availableMandates': 0, 'blankVotes': 83, 'blankVotesPercentage': 1.62, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 63, 'nullVotesPercentage': 1.23, 'numberParishes': 4, 'numberVoters': 5133, 'percentageVoters': 52.15}",Murtosa,Aveiro,0,83,1.62,,False,63,1.23,4,5133,52.15
34,,['António Maria dos Santos Sousa'],4,PPD/PSD,1,1,PPD/PSD,1,4,66.3,1,3403,"{'availableMandates': 0, 'blankVotes': 83, 'blankVotesPercentage': 1.62, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 63, 'nullVotesPercentage': 1.23, 'numberParishes': 4, 'numberVoters': 5133, 'percentageVoters': 52.15}",Murtosa,Aveiro,0,83,1.62,,False,63,1.23,4,5133,52.15
35,,['Ana Maria Farelo Mendes Silva Rebimbas'],1,PS,0,0,PS,1,1,27.06,0,1389,"{'availableMandates': 0, 'blankVotes': 83, 'blankVotesPercentage': 1.62, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 63, 'nullVotesPercentage': 1.23, 'numberParishes': 4, 'numberVoters': 5133, 'percentageVoters': 52.15}",Murtosa,Aveiro,0,83,1.62,,False,63,1.23,4,5133,52.15
