,effectiveCandidates,mandates,party,presidents,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
823,['José Fernando da Silva Pio'],4,PS,1,1,PS,1,4,63.99,1,67.49,1532,"{'availableMandates': 0, 'blankVotes': 74, 'blankVotesPercentage': 3.09, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 50, 'nullVotesPercentage': 2.09, 'numberParishes': 4, 'numberVoters': 2394, 'percentageVoters': 68.97}",Gavião,Portalegre,0,74,3.09,,False,50,2.09,4,2394,68.97
824,['Maria Madalena Delicado Curião Tavares'],2,PS,0,0,PS,1,2,31.67,0,32.98,713,"{'availableMandates': 0, 'blankVotes': 36, 'blankVotesPercentage': 1.6, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 53, 'nullVotesPercentage': 2.35, 'numberParishes': 4, 'numberVoters': 2251, 'percentageVoters': 77.49}",Marvão,Portalegre,0,36,1.6,,False,53,2.35,4,2251,77.49
825,['Pedro Ricardo de Resende Tavares e Ferreira de Carvalho'],0,CDS-PP.MPT.PPM,0,0,CDS-PP.MPT.PPM,1,0,1.37,0,1.42,27,"{'availableMandates': 0, 'blankVotes': 39, 'blankVotesPercentage': 1.98, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 24, 'nullVotesPercentage': 1.22, 'numberParishes': 4, 'numberVoters': 1966, 'percentageVoters': 73.09}",Monforte,Portalegre,0,39,1.98,,False,24,1.22,4,1966,73.09
826,['Gonçalo Nuno Ribeiro Brandão Amanso Pataca Lagem'],4,PCP-PEV,1,1,PCP-PEV,1,4,61.5,1,63.53,1209,"{'availableMandates': 0, 'blankVotes': 39, 'blankVotesPercentage': 1.98, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 24, 'nullVotesPercentage': 1.22, 'numberParishes': 4, 'numberVoters': 1966, 'percentageVoters': 73.09}",Monforte,Portalegre,0,39,1.98,,False,24,1.22,4,1966,73.09
827,['Cristóvão da Conceição Ventura Crespo'],0,PPD/PSD,0,0,PPD/PSD,1,0,7.22,0,7.46,142,"{'availableMandates': 0, 'blankVotes': 39, 'blankVotesPercentage': 1.98, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 24, 'nullVotesPercentage': 1.22, 'numberParishes': 4, 'numberVoters': 1966, 'percentageVoters': 73.09}",Monforte,Portalegre,0,39,1.98,,False,24,1.22,4,1966,73.09
828,['Miguel Alexandre Ferreira Rasquinho'],1,PS,0,0,PS,1,1,26.7,0,27.59,525,"{'availableMandates': 0, 'blankVotes': 39, 'blankVotesPercentage': 1.98, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 24, 'nullVotesPercentage': 1.22, 'numberParishes': 4, 'numberVoters': 1966, 'percentageVoters': 73.09}",Monforte,Portalegre,0,39,1.98,,False,24,1.22,4,1966,73.09
829,['Vitor Manuel Tavares Martins'],2,PCP-PEV,0,0,PCP-PEV,1,2,36.88,0,38.63,1589,"{'availableMandates': 0, 'blankVotes': 96, 'blankVotesPercentage': 2.23, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 99, 'nullVotesPercentage': 2.3, 'numberParishes': 7, 'numberVoters': 4308, 'percentageVoters': 70.61}",Nisa,Portalegre,0,96,2.23,,False,99,2.3,7,4308,70.61
830,['António Manuel Carita Franco'],0,PPD/PSD.CDS-PP,0,0,PPD/PSD.CDS-PP,1,0,8.15,0,8.53,351,"{'availableMandates': 0, 'blankVotes': 96, 'blankVotesPercentage': 2.23, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 99, 'nullVotesPercentage': 2.3, 'numberParishes': 7, 'numberVoters': 4308, 'percentageVoters': 70.61}",Nisa,Portalegre,0,96,2.23,,False,99,2.3,7,4308,70.61
831,['Maria Idalina Alves Trindade'],3,PS,1,1,PS,1,3,50.44,1,52.83,2173,"{'availableMandates': 0, 'blankVotes': 96, 'blankVotesPercentage': 2.23, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 99, 'nullVotesPercentage': 2.3, 'numberParishes': 7, 'numberVoters': 4308, 'percentageVoters': 70.61}",Nisa,Portalegre,0,96,2.23,,False,99,2.3,7,4308,70.61
832,['António Maria Ramos Ricardo'],0,B.E.,0,0,B.E.,1,0,2.95,0,3.06,248,"{'availableMandates': 0, 'blankVotes': 171, 'blankVotesPercentage': 2.04, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 126, 'nullVotesPercentage': 1.5, 'numberParishes': 5, 'numberVoters': 8399, 'percentageVoters': 58.72}",Ponte de Sor,Portalegre,0,171,2.04,,False,126,1.5,5,8399,58.72
833,['João Pedro Xavier Abelho Amante'],1,PCP-PEV,0,0,PCP-PEV,1,1,17.3,0,17.93,1453,"{'availableMandates': 0, 'blankVotes': 171, 'blankVotesPercentage': 2.04, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 126, 'nullVotesPercentage': 1.5, 'numberParishes': 5, 'numberVoters': 8399, 'percentageVoters': 58.72}",Ponte de Sor,Portalegre,0,171,2.04,,False,126,1.5,5,8399,58.72
834,['Normando José Pereira Sérgio'],0,PPD/PSD.CDS-PP,0,0,PPD/PSD.CDS-PP,1,0,7.95,0,8.24,668,"{'availableMandates': 0, 'blankVotes': 171, 'blankVotesPercentage': 2.04, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 126, 'nullVotesPercentage': 1.5, 'numberParishes': 5, 'numberVoters': 8399, 'percentageVoters': 58.72}",Ponte de Sor,Portalegre,0,171,2.04,,False,126,1.5,5,8399,58.72
835,['Hugo Luis Pereira Hilário'],6,PS,1,1,PS,1,6,68.26,1,70.76,5733,"{'availableMandates': 0, 'blankVotes': 171, 'blankVotesPercentage': 2.04, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 126, 'nullVotesPercentage': 1.5, 'numberParishes': 5, 'numberVoters': 8399, 'percentageVoters': 58.72}",Ponte de Sor,Portalegre,0,171,2.04,,False,126,1.5,5,8399,58.72
836,['Rui Cristóvão Carvalho da Cunha'],0,B.E.,0,0,B.E.,1,0,0.93,0,0.96,122,"{'availableMandates': 0, 'blankVotes': 239, 'blankVotesPercentage': 1.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.19, 'numberParishes': 7, 'numberVoters': 13165, 'percentageVoters': 63.19}",Portalegre,Portalegre,0,239,1.82,,False,157,1.19,7,13165,63.19
837,['João Nuno de Figueiredo Ferreira Moniz'],0,CDS-PP,0,0,CDS-PP,1,0,4.21,0,4.34,554,"{'availableMandates': 0, 'blankVotes': 239, 'blankVotesPercentage': 1.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.19, 'numberParishes': 7, 'numberVoters': 13165, 'percentageVoters': 63.19}",Portalegre,Portalegre,0,239,1.82,,False,157,1.19,7,13165,63.19
838,['Maria Adelaide Franco Lebreiro de Aguiar Marques Teixeira'],3,CLIP,1,0,CLIP,1,3,31.6,1,32.58,4160,"{'availableMandates': 0, 'blankVotes': 239, 'blankVotesPercentage': 1.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.19, 'numberParishes': 7, 'numberVoters': 13165, 'percentageVoters': 63.19}",Portalegre,Portalegre,0,239,1.82,,False,157,1.19,7,13165,63.19
839,['Luis Manuel Madeira Pargana'],1,PCP-PEV,0,0,PCP-PEV,1,1,18.22,0,18.79,2399,"{'availableMandates': 0, 'blankVotes': 239, 'blankVotesPercentage': 1.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.19, 'numberParishes': 7, 'numberVoters': 13165, 'percentageVoters': 63.19}",Portalegre,Portalegre,0,239,1.82,,False,157,1.19,7,13165,63.19
840,['Armando Jorge Mendonça Varela'],1,PPD/PSD,0,0,PPD/PSD,1,1,13.15,0,13.56,1731,"{'availableMandates': 0, 'blankVotes': 239, 'blankVotesPercentage': 1.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.19, 'numberParishes': 7, 'numberVoters': 13165, 'percentageVoters': 63.19}",Portalegre,Portalegre,0,239,1.82,,False,157,1.19,7,13165,63.19
841,['José Correia da Luz'],2,PS,0,0,PS,1,2,28.89,0,29.78,3803,"{'availableMandates': 0, 'blankVotes': 239, 'blankVotesPercentage': 1.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.19, 'numberParishes': 7, 'numberVoters': 13165, 'percentageVoters': 63.19}",Portalegre,Portalegre,0,239,1.82,,False,157,1.19,7,13165,63.19
842,['Maximino Romão Mendes Ramos'],0,B.E.,0,0,B.E.,1,0,1.16,0,1.19,36,"{'availableMandates': 0, 'blankVotes': 21, 'blankVotesPercentage': 0.68, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 50, 'nullVotesPercentage': 1.61, 'numberParishes': 4, 'numberVoters': 3108, 'percentageVoters': 76.91}",Sousel,Portalegre,0,21,0.68,,False,50,1.61,4,3108,76.91
843,['Fernando Jesus Santos Gorgulho'],0,PCP-PEV,0,0,PCP-PEV,1,0,4.99,0,5.1,155,"{'availableMandates': 0, 'blankVotes': 21, 'blankVotesPercentage': 0.68, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 50, 'nullVotesPercentage': 1.61, 'numberParishes': 4, 'numberVoters': 3108, 'percentageVoters': 76.91}",Sousel,Portalegre,0,21,0.68,,False,50,1.61,4,3108,76.91
844,['Marta Susana Rebocho Carujo'],1,PPD/PSD,0,0,PPD/PSD,1,1,30.41,0,31.12,945,"{'availableMandates': 0, 'blankVotes': 21, 'blankVotesPercentage': 0.68, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 50, 'nullVotesPercentage': 1.61, 'numberParishes': 4, 'numberVoters': 3108, 'percentageVoters': 76.91}",Sousel,Portalegre,0,21,0.68,,False,50,1.61,4,3108,76.91
845,['Manuel Joaquim Silva valério'],4,PS,1,1,PS,1,4,61.16,1,62.59,1901,"{'availableMandates': 0, 'blankVotes': 21, 'blankVotesPercentage': 0.68, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 50, 'nullVotesPercentage': 1.61, 'numberParishes': 4, 'numberVoters': 3108, 'percentageVoters': 76.91}",Sousel,Portalegre,0,21,0.68,,False,50,1.61,4,3108,76.91
846,['António Alcino Norte Simões'],0,B.E.,0,0,B.E.,1,0,1.74,0,1.79,562,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 1.49, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 425, 'nullVotesPercentage': 1.32, 'numberParishes': 26, 'numberVoters': 32250, 'percentageVoters': 61.38}",Amarante,Porto,0,480,1.49,,False,425,1.32,26,32250,61.38
847,['Carlos Manuel Pinheiro Gonçalves'],0,PCP-PEV,0,0,PCP-PEV,1,0,1.54,0,1.59,497,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 1.49, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 425, 'nullVotesPercentage': 1.32, 'numberParishes': 26, 'numberVoters': 32250, 'percentageVoters': 61.38}",Amarante,Porto,0,480,1.49,,False,425,1.32,26,32250,61.38
848,['Abel dos Santos Afonso'],0,PDR,0,0,PDR,1,0,1.92,0,1.97,618,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 1.49, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 425, 'nullVotesPercentage': 1.32, 'numberParishes': 26, 'numberVoters': 32250, 'percentageVoters': 61.38}",Amarante,Porto,0,480,1.49,,False,425,1.32,26,32250,61.38
849,['José Luis Gaspar Jorge'],6,PPD/PSD.CDS-PP,1,1,PPD/PSD.CDS-PP,1,6,55.3,1,56.9,17835,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 1.49, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 425, 'nullVotesPercentage': 1.32, 'numberParishes': 26, 'numberVoters': 32250, 'percentageVoters': 61.38}",Amarante,Porto,0,480,1.49,,False,425,1.32,26,32250,61.38
850,['Octávia Manuel da Rocha e Freitas Morais Clemente'],3,PS,0,0,PS,1,3,36.69,0,37.75,11833,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 1.49, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 425, 'nullVotesPercentage': 1.32, 'numberParishes': 26, 'numberVoters': 32250, 'percentageVoters': 61.38}",Amarante,Porto,0,480,1.49,,False,425,1.32,26,32250,61.38
