,effectiveCandidates,mandates,party,presidents,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
864,['Maria Joaquina de Sousa Ferreira '],0,B.E.,0,0,B.E.,1,0,1.28,0,1.31,368,"{'availableMandates': 0, 'blankVotes': 344, 'blankVotesPercentage': 1.19, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 385, 'nullVotesPercentage': 1.34, 'numberParishes': 15, 'numberVoters': 28798, 'percentageVoters': 70.61}",Lousada,Porto,0,344,1.19,,False,385,1.34,15,28798,70.61
865,['António Carlos Valente Machado Vieira'],0,PCP-PEV,0,0,PCP-PEV,1,0,1.59,0,1.63,457,"{'availableMandates': 0, 'blankVotes': 344, 'blankVotesPercentage': 1.19, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 385, 'nullVotesPercentage': 1.34, 'numberParishes': 15, 'numberVoters': 28798, 'percentageVoters': 70.61}",Lousada,Porto,0,344,1.19,,False,385,1.34,15,28798,70.61
866,['Leonel Domingos Reis Vieira da Silva'],3,PPD/PSD.CDS-PP,0,0,PPD/PSD.CDS-PP,1,3,41.55,0,42.63,11967,"{'availableMandates': 0, 'blankVotes': 344, 'blankVotesPercentage': 1.19, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 385, 'nullVotesPercentage': 1.34, 'numberParishes': 15, 'numberVoters': 28798, 'percentageVoters': 70.61}",Lousada,Porto,0,344,1.19,,False,385,1.34,15,28798,70.61
867,['Pedro Daniel Machado Gomes'],4,PS,1,1,PS,1,4,53.05,1,54.43,15277,"{'availableMandates': 0, 'blankVotes': 344, 'blankVotesPercentage': 1.19, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 385, 'nullVotesPercentage': 1.34, 'numberParishes': 15, 'numberVoters': 28798, 'percentageVoters': 70.61}",Lousada,Porto,0,344,1.19,,False,385,1.34,15,28798,70.61
868,['António João Fontes Maia'],0,PPV/CDC.PPM,0,0,PPV/CDC.PPM,1,0,0.73,0,0.78,470,"{'availableMandates': 0, 'blankVotes': 2825, 'blankVotesPercentage': 4.38, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1575, 'nullVotesPercentage': 2.44, 'numberParishes': 10, 'numberVoters': 64522, 'percentageVoters': 56.25}",Maia,Porto,0,2825,4.38,,False,1575,2.44,10,64522,56.25
869,['José Francisco Ferreira da Silva Vieira de Carvalho'],5,PS-JPP,0,0,PS-JPP,1,5,36.63,0,39.31,23634,"{'availableMandates': 0, 'blankVotes': 2825, 'blankVotesPercentage': 4.38, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1575, 'nullVotesPercentage': 2.44, 'numberParishes': 10, 'numberVoters': 64522, 'percentageVoters': 56.25}",Maia,Porto,0,2825,4.38,,False,1575,2.44,10,64522,56.25
870,['Nuno Miguel Leite de Sousa Teixeira'],0,B.E.,0,0,B.E.,1,0,1.29,0,1.33,385,"{'availableMandates': 0, 'blankVotes': 371, 'blankVotesPercentage': 1.24, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 470, 'nullVotesPercentage': 1.58, 'numberParishes': 16, 'numberVoters': 29832, 'percentageVoters': 64.81}",Marco de Canaveses,Porto,0,371,1.24,,False,470,1.58,16,29832,64.81
871,['Paulo Ramalheira Teixeira'],1,CDS-PP,0,0,CDS-PP,1,1,18.18,0,18.7,5422,"{'availableMandates': 0, 'blankVotes': 371, 'blankVotesPercentage': 1.24, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 470, 'nullVotesPercentage': 1.58, 'numberParishes': 16, 'numberVoters': 29832, 'percentageVoters': 64.81}",Marco de Canaveses,Porto,0,371,1.24,,False,470,1.58,16,29832,64.81
872,['Isabel Maria Baldaia de Silva Marques'],0,PCP-PEV,0,0,PCP-PEV,1,0,2.84,0,2.92,846,"{'availableMandates': 0, 'blankVotes': 371, 'blankVotesPercentage': 1.24, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 470, 'nullVotesPercentage': 1.58, 'numberParishes': 16, 'numberVoters': 29832, 'percentageVoters': 64.81}",Marco de Canaveses,Porto,0,371,1.24,,False,470,1.58,16,29832,64.81
873,['José António de Carvalho Soares da Mota'],2,PPD/PSD,0,0,PPD/PSD,1,2,30.67,0,31.56,9149,"{'availableMandates': 0, 'blankVotes': 371, 'blankVotesPercentage': 1.24, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 470, 'nullVotesPercentage': 1.58, 'numberParishes': 16, 'numberVoters': 29832, 'percentageVoters': 64.81}",Marco de Canaveses,Porto,0,371,1.24,,False,470,1.58,16,29832,64.81
874,['Cristina Lasalete Cardoso Vieira'],4,PS,1,1,PS,1,4,44.21,1,45.49,13189,"{'availableMandates': 0, 'blankVotes': 371, 'blankVotesPercentage': 1.24, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 470, 'nullVotesPercentage': 1.58, 'numberParishes': 16, 'numberVoters': 29832, 'percentageVoters': 64.81}",Marco de Canaveses,Porto,0,371,1.24,,False,470,1.58,16,29832,64.81
