,effectiveCandidates,party,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
0,['JOSÉ OLIVEIRA SANTOS'],B.E.,0,B.E.,1,0,1.34,0,1.4,179,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
1,['ANTÓNIO AUGUSTO AMARAL LOUREIRO E SANTOS'],CDS-PP,1,CDS-PP,1,5,59.7,1,62.5,7970,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
2,['CARLOS MANUEL DA COSTA SERVEIRA VASQUES'],CH,0,CH,1,0,1.87,0,1.95,249,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
3,['RODRIGO MANUEL PEREIRA MARQUES LOURENÇO'],PCP-PEV,0,PCP-PEV,1,0,1.57,0,1.65,210,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
4,['DELFINA LISBOA MARTINS DA CUNHA'],PPD/PSD,0,PPD/PSD,1,2,24.23,0,25.37,3235,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
5,['JESUS MANUEL VIDINHA TOMÁS'],PS,0,PS,1,0,6.82,0,7.14,910,"{'availableMandates': 0, 'blankVotes': 377, 'blankVotesPercentage': 2.82, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 221, 'nullVotesPercentage': 1.66, 'numberParishes': 6, 'numberVoters': 13351, 'percentageVoters': 59.48}",Albergaria-a-Velha,Aveiro,0,377,2.82,,False,221,1.66,6,13351,59.48
6,['ANTÓNIO MANUEL FERREIRA GOMES'],CH,0,CH,1,0,2.42,0,2.54,332,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
7,['MÁRIO RUI JESUS RODRIGUES COSME'],IL,0,IL,1,0,1.71,0,1.8,235,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
8,['MARIA TERESA BELÉM CORREIA CARDOSO'],MIAP,1,MIAP,1,4,45.34,1,47.62,6231,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
9,['MARCO AURÉLIO GOUVEIA ALVES'],PCP-PEV,0,PCP-PEV,1,0,5.31,0,5.58,730,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
10,['JOÃO JOSÉ NOGUEIRA DE ALMEIDA'],PPD/PSD,0,PPD/PSD,1,2,27.16,0,28.53,3733,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
11,['ANDRÉ MIGUEL MATOS BEJA HENRIQUES'],PS,0,PS,1,1,13.28,0,13.95,1825,"{'availableMandates': 0, 'blankVotes': 424, 'blankVotesPercentage': 3.08, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 234, 'nullVotesPercentage': 1.7, 'numberParishes': 10, 'numberVoters': 13744, 'percentageVoters': 52.71}",Anadia,Aveiro,0,424,3.08,,False,234,1.7,10,13744,52.71
12,['ANA BELA DE JESUS BERNARDINO'],CH,0,CH,1,0,1.47,0,1.52,204,"{'availableMandates': 0, 'blankVotes': 262, 'blankVotesPercentage': 1.89, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 187, 'nullVotesPercentage': 1.35, 'numberParishes': 16, 'numberVoters': 13873, 'percentageVoters': 70.06}",Arouca,Aveiro,0,262,1.89,,False,187,1.35,16,13873,70.06
13,['ANSELMO FILIPE BRANDÃO GONÇALVES DE OLIVEIRA'],E,0,E,1,0,0.95,0,0.98,132,"{'availableMandates': 0, 'blankVotes': 262, 'blankVotesPercentage': 1.89, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 187, 'nullVotesPercentage': 1.35, 'numberParishes': 16, 'numberVoters': 13873, 'percentageVoters': 70.06}",Arouca,Aveiro,0,262,1.89,,False,187,1.35,16,13873,70.06
14,['LARA MANUEL GUEDES DE PINHO'],PCP-PEV,0,PCP-PEV,1,0,2.75,0,2.84,381,"{'availableMandates': 0, 'blankVotes': 262, 'blankVotesPercentage': 1.89, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 187, 'nullVotesPercentage': 1.35, 'numberParishes': 16, 'numberVoters': 13873, 'percentageVoters': 70.06}",Arouca,Aveiro,0,262,1.89,,False,187,1.35,16,13873,70.06
15,['VÍTOR CARLOS COSTA CARVALHO'],PPD/PSD.CDS-PP.PPM.IL,0,PPD/PSD.CDS-PP.PPM.IL,1,3,41.27,0,42.65,5726,"{'availableMandates': 0, 'blankVotes': 262, 'blankVotesPercentage': 1.89, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 187, 'nullVotesPercentage': 1.35, 'numberParishes': 16, 'numberVoters': 13873, 'percentageVoters': 70.06}",Arouca,Aveiro,0,262,1.89,,False,187,1.35,16,13873,70.06
16,['MARGARIDA MARIA DE SOUSA CORREIA BELÉM'],PS,1,PS,1,4,50.32,1,52.0,6981,"{'availableMandates': 0, 'blankVotes': 262, 'blankVotesPercentage': 1.89, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 187, 'nullVotesPercentage': 1.35, 'numberParishes': 16, 'numberVoters': 13873, 'percentageVoters': 70.06}",Arouca,Aveiro,0,262,1.89,,False,187,1.35,16,13873,70.06
17,['NELSON RICARDO ESTEVES PERALTA'],B.E.,0,B.E.,1,0,6.4,0,6.76,2191,"{'availableMandates': 0, 'blankVotes': 1235, 'blankVotesPercentage': 3.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 594, 'nullVotesPercentage': 1.73, 'numberParishes': 10, 'numberVoters': 34237, 'percentageVoters': 48.53}",Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53
18,['CÂNDIDO TAVARES DE OLIVEIRA'],CH,0,CH,1,0,4.04,0,4.27,1383,"{'availableMandates': 0, 'blankVotes': 1235, 'blankVotesPercentage': 3.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 594, 'nullVotesPercentage': 1.73, 'numberParishes': 10, 'numberVoters': 34237, 'percentageVoters': 48.53}",Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53
19,['MIGUEL ANTÓNIO MARQUES GOMES'],IL,0,IL,1,0,2.31,0,2.44,790,"{'availableMandates': 0, 'blankVotes': 1235, 'blankVotesPercentage': 3.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 594, 'nullVotesPercentage': 1.73, 'numberParishes': 10, 'numberVoters': 34237, 'percentageVoters': 48.53}",Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53
20,['JOAQUIM PAULO PINTO ALVES'],NC,0,NC,1,0,1.05,0,1.1,358,"{'availableMandates': 0, 'blankVotes': 1235, 'blankVotesPercentage': 3.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 594, 'nullVotesPercentage': 1.73, 'numberParishes': 10, 'numberVoters': 34237, 'percentageVoters': 48.53}",Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53
21,['MIGUEL LOPES BATISTA VIEGAS'],PCP-PEV,0,PCP-PEV,1,0,3.34,0,3.53,1144,"{'availableMandates': 0, 'blankVotes': 1235, 'blankVotesPercentage': 3.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 594, 'nullVotesPercentage': 1.73, 'numberParishes': 10, 'numberVoters': 34237, 'percentageVoters': 48.53}",Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53
22,['JOÃO MANUEL VALENTE PINTO'],PCTP/MRPP,0,PCTP/MRPP,1,0,0.27,0,0.28,92,"{'availableMandates': 0, 'blankVotes': 1235, 'blankVotesPercentage': 3.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 594, 'nullVotesPercentage': 1.73, 'numberParishes': 10, 'numberVoters': 34237, 'percentageVoters': 48.53}",Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53
23,['JOSÉ AGOSTINHO RIBAU ESTEVES'],PPD/PSD.CDS-PP.PPM,1,PPD/PSD.CDS-PP.PPM,1,6,51.26,1,54.15,17549,"{'availableMandates': 0, 'blankVotes': 1235, 'blankVotesPercentage': 3.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 594, 'nullVotesPercentage': 1.73, 'numberParishes': 10, 'numberVoters': 34237, 'percentageVoters': 48.53}",Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53
24,['MANUEL OLIVEIRA DE SOUSA'],PS-PAN,0,PS-PAN,1,3,26.0,0,27.47,8901,"{'availableMandates': 0, 'blankVotes': 1235, 'blankVotesPercentage': 3.61, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 594, 'nullVotesPercentage': 1.73, 'numberParishes': 10, 'numberVoters': 34237, 'percentageVoters': 48.53}",Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53
25,['MIGUEL PINHEIRO CASTENHEIRA'],CDS-PP,0,CDS-PP,1,0,0.39,0,0.4,43,"{'availableMandates': 0, 'blankVotes': 99, 'blankVotesPercentage': 0.91, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 192, 'nullVotesPercentage': 1.76, 'numberParishes': 6, 'numberVoters': 10926, 'percentageVoters': 77.81}",Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81
26,['VITOR MANUEL QUINTAS PINHO'],MPM,0,MPM,1,1,14.13,0,14.52,1544,"{'availableMandates': 0, 'blankVotes': 99, 'blankVotesPercentage': 0.91, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 192, 'nullVotesPercentage': 1.76, 'numberParishes': 6, 'numberVoters': 10926, 'percentageVoters': 77.81}",Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81
27,['MANUEL MOREIRA RODRIGUES'],PCP-PEV,0,PCP-PEV,1,0,0.84,0,0.87,92,"{'availableMandates': 0, 'blankVotes': 99, 'blankVotesPercentage': 0.91, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 192, 'nullVotesPercentage': 1.76, 'numberParishes': 6, 'numberVoters': 10926, 'percentageVoters': 77.81}",Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81
28,['JOSÉ DUARTE DE SOUSA E ROCHA'],PPD/PSD,0,PPD/PSD,1,3,40.04,1,41.14,4375,"{'availableMandates': 0, 'blankVotes': 99, 'blankVotesPercentage': 0.91, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 192, 'nullVotesPercentage': 1.76, 'numberParishes': 6, 'numberVoters': 10926, 'percentageVoters': 77.81}",Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81
29,['JOSÉ MANUEL MOREIRA DE CARVALHO'],PS,0,PS,1,2,31.27,0,32.13,3417,"{'availableMandates': 0, 'blankVotes': 99, 'blankVotesPercentage': 0.91, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 192, 'nullVotesPercentage': 1.76, 'numberParishes': 6, 'numberVoters': 10926, 'percentageVoters': 77.81}",Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81
30,['RICARDO JORGE MARTINS ALVES'],UCPT,0,UCPT,1,1,10.65,0,10.94,1164,"{'availableMandates': 0, 'blankVotes': 99, 'blankVotesPercentage': 0.91, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 192, 'nullVotesPercentage': 1.76, 'numberParishes': 6, 'numberVoters': 10926, 'percentageVoters': 77.81}",Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81
31,['ANTÓNIO MANUEL DE SOUSA ANDRADE'],B.E.,0,B.E.,1,0,3.69,0,3.89,607,"{'availableMandates': 0, 'blankVotes': 545, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 311, 'nullVotesPercentage': 1.89, 'numberParishes': 4, 'numberVoters': 16451, 'percentageVoters': 55.33}",Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33
32,['MANUEL ANTÓNIO LOPES FERREIRA FONTES'],CDS-PP,0,CDS-PP,1,0,2.15,0,2.27,354,"{'availableMandates': 0, 'blankVotes': 545, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 311, 'nullVotesPercentage': 1.89, 'numberParishes': 4, 'numberVoters': 16451, 'percentageVoters': 55.33}",Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33
33,['RENATO MIGUEL PRATA DOS SANTOS'],CH,0,CH,1,0,2.47,0,2.61,407,"{'availableMandates': 0, 'blankVotes': 545, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 311, 'nullVotesPercentage': 1.89, 'numberParishes': 4, 'numberVoters': 16451, 'percentageVoters': 55.33}",Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33
34,['HENRIQUE JOSÉ PEDRO CIERCO'],NC,0,NC,1,0,1.61,0,1.7,265,"{'availableMandates': 0, 'blankVotes': 545, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 311, 'nullVotesPercentage': 1.89, 'numberParishes': 4, 'numberVoters': 16451, 'percentageVoters': 55.33}",Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33
35,['ERNESTO CARLOS IGLÉSIAS MORAIS'],PAN,0,PAN,1,0,2.24,0,2.36,368,"{'availableMandates': 0, 'blankVotes': 545, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 311, 'nullVotesPercentage': 1.89, 'numberParishes': 4, 'numberVoters': 16451, 'percentageVoters': 55.33}",Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33
36,['JUSTINO DE JESUS PEREIRA'],PCP-PEV,0,PCP-PEV,1,0,4.84,0,5.1,796,"{'availableMandates': 0, 'blankVotes': 545, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 311, 'nullVotesPercentage': 1.89, 'numberParishes': 4, 'numberVoters': 16451, 'percentageVoters': 55.33}",Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33
37,['ANTÓNIO VICENTE DE AMORIM ALVES PINTO'],PPD/PSD,0,PPD/PSD,1,3,37.57,0,39.63,6180,"{'availableMandates': 0, 'blankVotes': 545, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 311, 'nullVotesPercentage': 1.89, 'numberParishes': 4, 'numberVoters': 16451, 'percentageVoters': 55.33}",Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33
38,['ADELINO MIGUEL LINO MOREIRA REIS'],PS,1,PS,1,4,40.23,1,42.44,6618,"{'availableMandates': 0, 'blankVotes': 545, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 311, 'nullVotesPercentage': 1.89, 'numberParishes': 4, 'numberVoters': 16451, 'percentageVoters': 55.33}",Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33
39,['JOSÉ DAVID DOS SANTOS MARCELINO'],CH,0,CH,1,0,3.73,0,3.93,429,"{'availableMandates': 0, 'blankVotes': 317, 'blankVotesPercentage': 2.76, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 263, 'nullVotesPercentage': 2.29, 'numberParishes': 5, 'numberVoters': 11497, 'percentageVoters': 48.01}",Estarreja,Aveiro,0,317,2.76,,False,263,2.29,5,11497,48.01
40,['ANTÓNIO MANUEL DE FIGUEIREDO VIDAL'],PCP-PEV,0,PCP-PEV,1,0,5.46,0,5.75,628,"{'availableMandates': 0, 'blankVotes': 317, 'blankVotesPercentage': 2.76, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 263, 'nullVotesPercentage': 2.29, 'numberParishes': 5, 'numberVoters': 11497, 'percentageVoters': 48.01}",Estarreja,Aveiro,0,317,2.76,,False,263,2.29,5,11497,48.01
41,['DIAMANTINO MANUEL SABINA'],PPD/PSD.CDS-PP,1,PPD/PSD.CDS-PP,1,4,52.31,1,55.09,6014,"{'availableMandates': 0, 'blankVotes': 317, 'blankVotesPercentage': 2.76, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 263, 'nullVotesPercentage': 2.29, 'numberParishes': 5, 'numberVoters': 11497, 'percentageVoters': 48.01}",Estarreja,Aveiro,0,317,2.76,,False,263,2.29,5,11497,48.01
42,['MARISA DA CONCEIÇÃO CORREIA MACEDO'],PS,0,PS,1,3,33.45,0,35.23,3846,"{'availableMandates': 0, 'blankVotes': 317, 'blankVotesPercentage': 2.76, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 263, 'nullVotesPercentage': 2.29, 'numberParishes': 5, 'numberVoters': 11497, 'percentageVoters': 48.01}",Estarreja,Aveiro,0,317,2.76,,False,263,2.29,5,11497,48.01
43,['GONÇALO FERNANDO GONÇALVES DE MELO LOPES'],B.E.,0,B.E.,1,0,3.1,0,3.24,296,"{'availableMandates': 0, 'blankVotes': 296, 'blankVotesPercentage': 3.1, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 134, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 9559, 'percentageVoters': 53.3}",Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3
44,['NÉLIDA CHRISTINE GOMES MARQUES'],CH,0,CH,1,0,1.58,0,1.65,151,"{'availableMandates': 0, 'blankVotes': 296, 'blankVotesPercentage': 3.1, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 134, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 9559, 'percentageVoters': 53.3}",Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3
45,['ANTÓNIO JORGE FERNANDES FRANCO'],MMMI,0,MMMI,1,3,37.82,1,39.6,3615,"{'availableMandates': 0, 'blankVotes': 296, 'blankVotesPercentage': 3.1, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 134, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 9559, 'percentageVoters': 53.3}",Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3
46,['JOÃO JOSÉ PEREIRA MARQUES'],PCP-PEV,0,PCP-PEV,1,0,4.27,0,4.47,408,"{'availableMandates': 0, 'blankVotes': 296, 'blankVotesPercentage': 3.1, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 134, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 9559, 'percentageVoters': 53.3}",Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3
47,['HUGO ANDRÉ AFONSO ALVES E SILVA'],PPD/PSD.CDS-PP.IL.MPT.PPM,0,PPD/PSD.CDS-PP.IL.MPT.PPM,1,1,19.2,0,20.1,1835,"{'availableMandates': 0, 'blankVotes': 296, 'blankVotesPercentage': 3.1, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 134, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 9559, 'percentageVoters': 53.3}",Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3
48,['RUI MANUEL LEAL MARQUEIRO'],PS,0,PS,1,3,29.54,0,30.93,2824,"{'availableMandates': 0, 'blankVotes': 296, 'blankVotesPercentage': 3.1, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 134, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 9559, 'percentageVoters': 53.3}",Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3
49,['PEDRO TOMÁS PEREIRA MARQUES'],CDS-PP,0,CDS-PP,1,0,4.84,0,5.03,227,"{'availableMandates': 0, 'blankVotes': 88, 'blankVotesPercentage': 1.88, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 88, 'nullVotesPercentage': 1.88, 'numberParishes': 4, 'numberVoters': 4689, 'percentageVoters': 47.29}",Murtosa,Aveiro,0,88,1.88,,False,88,1.88,4,4689,47.29
50,['HUGO DANIEL MARTINS DE SOUSA'],CH,0,CH,1,0,2.0,0,2.08,94,"{'availableMandates': 0, 'blankVotes': 88, 'blankVotesPercentage': 1.88, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 88, 'nullVotesPercentage': 1.88, 'numberParishes': 4, 'numberVoters': 4689, 'percentageVoters': 47.29}",Murtosa,Aveiro,0,88,1.88,,False,88,1.88,4,4689,47.29
51,['QUINTINO PINTO DE MATOS'],PCP-PEV,0,PCP-PEV,1,0,2.32,0,2.42,109,"{'availableMandates': 0, 'blankVotes': 88, 'blankVotesPercentage': 1.88, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 88, 'nullVotesPercentage': 1.88, 'numberParishes': 4, 'numberVoters': 4689, 'percentageVoters': 47.29}",Murtosa,Aveiro,0,88,1.88,,False,88,1.88,4,4689,47.29
52,['JOAQUIM MANUEL DOS SANTOS BAPTISTA'],PPD/PSD,1,PPD/PSD,1,4,71.1,1,73.88,3334,"{'availableMandates': 0, 'blankVotes': 88, 'blankVotesPercentage': 1.88, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 88, 'nullVotesPercentage': 1.88, 'numberParishes': 4, 'numberVoters': 4689, 'percentageVoters': 47.29}",Murtosa,Aveiro,0,88,1.88,,False,88,1.88,4,4689,47.29
53,['ANTÓNIO JORGE FEIO BACELAR VILAR'],PS,0,PS,1,1,15.97,0,16.6,749,"{'availableMandates': 0, 'blankVotes': 88, 'blankVotesPercentage': 1.88, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 88, 'nullVotesPercentage': 1.88, 'numberParishes': 4, 'numberVoters': 4689, 'percentageVoters': 47.29}",Murtosa,Aveiro,0,88,1.88,,False,88,1.88,4,4689,47.29
54,['DIOGO ANDRÉ DA SILVA BARBOSA'],B.E.,0,B.E.,1,0,2.66,0,2.79,861,"{'availableMandates': 0, 'blankVotes': 871, 'blankVotesPercentage': 2.7, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 534, 'nullVotesPercentage': 1.65, 'numberParishes': 12, 'numberVoters': 32314, 'percentageVoters': 53.53}",Oliveira de Azeméis,Aveiro,0,871,2.7,,False,534,1.65,12,32314,53.53
55,['VITOR MANUEL PAIVA DA SILVA'],CH,0,CH,1,0,3.14,0,3.28,1014,"{'availableMandates': 0, 'blankVotes': 871, 'blankVotesPercentage': 2.7, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 534, 'nullVotesPercentage': 1.65, 'numberParishes': 12, 'numberVoters': 32314, 'percentageVoters': 53.53}",Oliveira de Azeméis,Aveiro,0,871,2.7,,False,534,1.65,12,32314,53.53
56,['VITOR MANUEL TEIGA JANUÁRIO'],PCP-PEV,0,PCP-PEV,1,0,1.51,0,1.58,489,"{'availableMandates': 0, 'blankVotes': 871, 'blankVotesPercentage': 2.7, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 534, 'nullVotesPercentage': 1.65, 'numberParishes': 12, 'numberVoters': 32314, 'percentageVoters': 53.53}",Oliveira de Azeméis,Aveiro,0,871,2.7,,False,534,1.65,12,32314,53.53
57,['CARLA MARIA DE PINHO RODRIGUES'],PPD/PSD.CDS-PP,0,PPD/PSD.CDS-PP,1,3,33.47,0,34.99,10815,"{'availableMandates': 0, 'blankVotes': 871, 'blankVotesPercentage': 2.7, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 534, 'nullVotesPercentage': 1.65, 'numberParishes': 12, 'numberVoters': 32314, 'percentageVoters': 53.53}",Oliveira de Azeméis,Aveiro,0,871,2.7,,False,534,1.65,12,32314,53.53
58,['JOAQUIM JORGE FERREIRA'],PS,1,PS,1,6,54.87,1,57.36,17730,"{'availableMandates': 0, 'blankVotes': 871, 'blankVotesPercentage': 2.7, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 534, 'nullVotesPercentage': 1.65, 'numberParishes': 12, 'numberVoters': 32314, 'percentageVoters': 53.53}",Oliveira de Azeméis,Aveiro,0,871,2.7,,False,534,1.65,12,32314,53.53
59,['DUARTE DOS SANTOS ALMEIDA NOVO'],CDS-PP,1,CDS-PP,1,4,45.58,1,47.78,4984,"{'availableMandates': 0, 'blankVotes': 306, 'blankVotesPercentage': 2.8, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 198, 'nullVotesPercentage': 1.81, 'numberParishes': 4, 'numberVoters': 10935, 'percentageVoters': 52.41}",Oliveira do Bairro,Aveiro,0,306,2.8,,False,198,1.81,4,10935,52.41
