,effectiveCandidates,mandates,party,presidents,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
10,['Adriano de Jesus Brandão'],0,CDS-PP,0,0,CDS-PP,1,0,5.24,0,5.46,726,"{'availableMandates': 0, 'blankVotes': 312, 'blankVotesPercentage': 2.25, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 260, 'nullVotesPercentage': 1.87, 'numberParishes': 16, 'numberVoters': 13867, 'percentageVoters': 66.32}",Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32
11,['Francisco Manuel da Cunha Gonçalves'],0,PCP - PEV,0,0,PCP - PEV,1,0,2.81,0,2.93,390,"{'availableMandates': 0, 'blankVotes': 312, 'blankVotesPercentage': 2.25, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 260, 'nullVotesPercentage': 1.87, 'numberParishes': 16, 'numberVoters': 13867, 'percentageVoters': 66.32}",Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32
12,['José Luís Alves da Silva'],2,PPD/PSD,0,0,PPD/PSD,1,2,28.35,0,29.57,3931,"{'availableMandates': 0, 'blankVotes': 312, 'blankVotesPercentage': 2.25, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 260, 'nullVotesPercentage': 1.87, 'numberParishes': 16, 'numberVoters': 13867, 'percentageVoters': 66.32}",Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32
13,['José Artur Tavares Neves'],5,PS,1,1,PS,1,5,59.48,1,62.04,8248,"{'availableMandates': 0, 'blankVotes': 312, 'blankVotesPercentage': 2.25, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 260, 'nullVotesPercentage': 1.87, 'numberParishes': 16, 'numberVoters': 13867, 'percentageVoters': 66.32}",Arouca,Aveiro,0,312,2.25,,False,260,1.87,16,13867,66.32
14,['Nelson Ricardo Esteves Peralta'],0,B.E.,0,0,B.E.,1,0,3.98,0,4.33,1366,"{'availableMandates': 0, 'blankVotes': 1830, 'blankVotesPercentage': 5.33, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 971, 'nullVotesPercentage': 2.83, 'numberParishes': 10, 'numberVoters': 34330, 'percentageVoters': 48.95}",Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95
15,['Élio Manuel Delgado da Maia'],1,IX,0,0,IX,1,1,10.14,0,11.04,3480,"{'availableMandates': 0, 'blankVotes': 1830, 'blankVotesPercentage': 5.33, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 971, 'nullVotesPercentage': 2.83, 'numberParishes': 10, 'numberVoters': 34330, 'percentageVoters': 48.95}",Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95
16,['Miguel Lopes Batista Viegas'],0,PCP - PEV,0,0,PCP - PEV,1,0,3.67,0,3.99,1259,"{'availableMandates': 0, 'blankVotes': 1830, 'blankVotesPercentage': 5.33, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 971, 'nullVotesPercentage': 2.83, 'numberParishes': 10, 'numberVoters': 34330, 'percentageVoters': 48.95}",Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95
17,['Luís Fernando Ferreira Monteiro Rebocho'],0,PCTP/MRPP,0,0,PCTP/MRPP,1,0,0.68,0,0.75,235,"{'availableMandates': 0, 'blankVotes': 1830, 'blankVotesPercentage': 5.33, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 971, 'nullVotesPercentage': 2.83, 'numberParishes': 10, 'numberVoters': 34330, 'percentageVoters': 48.95}",Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95
18,['Vitor Manuel Duarte Ferreira Ramalho'],0,PNR,0,0,PNR,1,0,0.36,0,0.39,123,"{'availableMandates': 0, 'blankVotes': 1830, 'blankVotesPercentage': 5.33, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 971, 'nullVotesPercentage': 2.83, 'numberParishes': 10, 'numberVoters': 34330, 'percentageVoters': 48.95}",Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95
19,['José Agostinho Ribau Esteves'],5,PPD/PSD.CDS-PP.PPM,1,1,PPD/PSD.CDS-PP.PPM,1,5,48.63,1,52.95,16694,"{'availableMandates': 0, 'blankVotes': 1830, 'blankVotesPercentage': 5.33, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 971, 'nullVotesPercentage': 2.83, 'numberParishes': 10, 'numberVoters': 34330, 'percentageVoters': 48.95}",Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95
20,['Eduardo Elísio Silva Peralta Feio'],3,PS,0,0,PS,1,3,24.39,0,26.55,8372,"{'availableMandates': 0, 'blankVotes': 1830, 'blankVotesPercentage': 5.33, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 971, 'nullVotesPercentage': 2.83, 'numberParishes': 10, 'numberVoters': 34330, 'percentageVoters': 48.95}",Aveiro,Aveiro,0,1830,5.33,,False,971,2.83,10,34330,48.95
21,['Abílio Augusto Carrazedo Guerra'],0,B.E.,0,0,B.E.,1,0,0.64,0,0.66,72,"{'availableMandates': 0, 'blankVotes': 132, 'blankVotesPercentage': 1.18, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 11221, 'percentageVoters': 75.91}",Castelo de Paiva,Aveiro,0,132,1.18,,False,157,1.4,6,11221,75.91
22,['Paulo Fernando Nogueira Martel da Silva'],0,CDS-PP,0,0,CDS-PP,1,0,0.84,0,0.86,94,"{'availableMandates': 0, 'blankVotes': 132, 'blankVotesPercentage': 1.18, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 11221, 'percentageVoters': 75.91}",Castelo de Paiva,Aveiro,0,132,1.18,,False,157,1.4,6,11221,75.91
23,['Manuel da Rocha Vieira'],0,PCP - PEV,0,0,PCP - PEV,1,0,0.94,0,0.97,106,"{'availableMandates': 0, 'blankVotes': 132, 'blankVotesPercentage': 1.18, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 11221, 'percentageVoters': 75.91}",Castelo de Paiva,Aveiro,0,132,1.18,,False,157,1.4,6,11221,75.91
24,['Norberto dos Santos Rodrigues Moreira'],3,PPD/PSD,0,0,PPD/PSD,1,3,35.97,0,36.92,4036,"{'availableMandates': 0, 'blankVotes': 132, 'blankVotesPercentage': 1.18, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 11221, 'percentageVoters': 75.91}",Castelo de Paiva,Aveiro,0,132,1.18,,False,157,1.4,6,11221,75.91
25,['Gonçalo Fernando da Rocha de Jesus'],4,PS,1,1,PS,1,4,59.03,1,60.59,6624,"{'availableMandates': 0, 'blankVotes': 132, 'blankVotesPercentage': 1.18, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 157, 'nullVotesPercentage': 1.4, 'numberParishes': 6, 'numberVoters': 11221, 'percentageVoters': 75.91}",Castelo de Paiva,Aveiro,0,132,1.18,,False,157,1.4,6,11221,75.91
26,['António Manuel de Sousa Andrade'],0,B.E.,0,0,B.E.,1,0,3.37,0,3.59,641,"{'availableMandates': 0, 'blankVotes': 654, 'blankVotesPercentage': 3.43, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 517, 'nullVotesPercentage': 2.71, 'numberParishes': 4, 'numberVoters': 19044, 'percentageVoters': 61.82}",Espinho,Aveiro,0,654,3.43,,False,517,2.71,4,19044,61.82
27,['Diogo Silva Pardilhó Duarte de Campos'],0,CDS-PP,0,0,CDS-PP,1,0,2.42,0,2.57,460,"{'availableMandates': 0, 'blankVotes': 654, 'blankVotesPercentage': 3.43, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 517, 'nullVotesPercentage': 2.71, 'numberParishes': 4, 'numberVoters': 19044, 'percentageVoters': 61.82}",Espinho,Aveiro,0,654,3.43,,False,517,2.71,4,19044,61.82
28,['Fausto Manuel da Silva Neves'],0,PCP - PEV,0,0,PCP - PEV,1,0,6.25,0,6.66,1191,"{'availableMandates': 0, 'blankVotes': 654, 'blankVotesPercentage': 3.43, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 517, 'nullVotesPercentage': 2.71, 'numberParishes': 4, 'numberVoters': 19044, 'percentageVoters': 61.82}",Espinho,Aveiro,0,654,3.43,,False,517,2.71,4,19044,61.82
29,['Joaquim José Pinto Moreira'],4,PPD/PSD,1,1,PPD/PSD,1,4,47.22,1,50.32,8993,"{'availableMandates': 0, 'blankVotes': 654, 'blankVotesPercentage': 3.43, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 517, 'nullVotesPercentage': 2.71, 'numberParishes': 4, 'numberVoters': 19044, 'percentageVoters': 61.82}",Espinho,Aveiro,0,654,3.43,,False,517,2.71,4,19044,61.82
30,['José Barbosa da Mota'],3,PS,0,0,PS,1,3,34.59,0,36.86,6588,"{'availableMandates': 0, 'blankVotes': 654, 'blankVotesPercentage': 3.43, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 517, 'nullVotesPercentage': 2.71, 'numberParishes': 4, 'numberVoters': 19044, 'percentageVoters': 61.82}",Espinho,Aveiro,0,654,3.43,,False,517,2.71,4,19044,61.82
31,['José Artur Pereira de Pinho'],0,I,0,0,I,1,0,8.01,0,8.57,978,"{'availableMandates': 0, 'blankVotes': 455, 'blankVotesPercentage': 3.73, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 348, 'nullVotesPercentage': 2.85, 'numberParishes': 5, 'numberVoters': 12214, 'percentageVoters': 49.15}",Estarreja,Aveiro,0,455,3.73,,False,348,2.85,5,12214,49.15
32,['Américo Rodrigues Soares'],0,PCP - PEV,0,0,PCP - PEV,1,0,8.33,0,8.91,1017,"{'availableMandates': 0, 'blankVotes': 455, 'blankVotesPercentage': 3.73, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 348, 'nullVotesPercentage': 2.85, 'numberParishes': 5, 'numberVoters': 12214, 'percentageVoters': 49.15}",Estarreja,Aveiro,0,455,3.73,,False,348,2.85,5,12214,49.15
33,['Diamantino Manuel Sabina'],4,PPD/PSD.CDS-PP,1,1,PPD/PSD.CDS-PP,1,4,43.01,1,46.03,5253,"{'availableMandates': 0, 'blankVotes': 455, 'blankVotesPercentage': 3.73, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 348, 'nullVotesPercentage': 2.85, 'numberParishes': 5, 'numberVoters': 12214, 'percentageVoters': 49.15}",Estarreja,Aveiro,0,455,3.73,,False,348,2.85,5,12214,49.15
34,['Fernando Manuel Mendonça Albergaria Matos'],3,PS,0,0,PS,1,3,34.08,0,36.48,4163,"{'availableMandates': 0, 'blankVotes': 455, 'blankVotesPercentage': 3.73, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 348, 'nullVotesPercentage': 2.85, 'numberParishes': 5, 'numberVoters': 12214, 'percentageVoters': 49.15}",Estarreja,Aveiro,0,455,3.73,,False,348,2.85,5,12214,49.15
35,['João Manuel Lima Louceiro'],0,PCP - PEV,0,0,PCP - PEV,1,0,7.89,0,8.48,751,"{'availableMandates': 0, 'blankVotes': 420, 'blankVotesPercentage': 4.41, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 247, 'nullVotesPercentage': 2.59, 'numberParishes': 6, 'numberVoters': 9521, 'percentageVoters': 50.52}",Mealhada,Aveiro,0,420,4.41,,False,247,2.59,6,9521,50.52
36,['Gonçalo Nuno Vigária Santos Louzada'],3,PPD/PSD.CDS-PP.MPT.PPM,0,0,PPD/PSD.CDS-PP.MPT.PPM,1,3,36.5,0,39.25,3475,"{'availableMandates': 0, 'blankVotes': 420, 'blankVotesPercentage': 4.41, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 247, 'nullVotesPercentage': 2.59, 'numberParishes': 6, 'numberVoters': 9521, 'percentageVoters': 50.52}",Mealhada,Aveiro,0,420,4.41,,False,247,2.59,6,9521,50.52
37,['Rui Manuel Leal Marqueiro'],4,PS,1,1,PS,1,4,46.88,1,50.41,4463,"{'availableMandates': 0, 'blankVotes': 420, 'blankVotesPercentage': 4.41, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 247, 'nullVotesPercentage': 2.59, 'numberParishes': 6, 'numberVoters': 9521, 'percentageVoters': 50.52}",Mealhada,Aveiro,0,420,4.41,,False,247,2.59,6,9521,50.52
38,['Eduardo Nunes Marques'],0,CDS-PP,0,0,CDS-PP,1,0,5.67,0,5.95,275,"{'availableMandates': 0, 'blankVotes': 125, 'blankVotesPercentage': 2.58, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 107, 'nullVotesPercentage': 2.21, 'numberParishes': 4, 'numberVoters': 4852, 'percentageVoters': 48.19}",Murtosa,Aveiro,0,125,2.58,,False,107,2.21,4,4852,48.19
39,['Jorge Augusto Portela Vieira'],0,PCP - PEV,0,0,PCP - PEV,1,0,2.35,0,2.47,114,"{'availableMandates': 0, 'blankVotes': 125, 'blankVotesPercentage': 2.58, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 107, 'nullVotesPercentage': 2.21, 'numberParishes': 4, 'numberVoters': 4852, 'percentageVoters': 48.19}",Murtosa,Aveiro,0,125,2.58,,False,107,2.21,4,4852,48.19
40,['Joaquim Manuel dos Santos Baptista'],6,PPD/PSD,1,1,PPD/PSD,1,6,70.92,1,74.48,3441,"{'availableMandates': 0, 'blankVotes': 125, 'blankVotesPercentage': 2.58, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 107, 'nullVotesPercentage': 2.21, 'numberParishes': 4, 'numberVoters': 4852, 'percentageVoters': 48.19}",Murtosa,Aveiro,0,125,2.58,,False,107,2.21,4,4852,48.19
41,['António Jorge Feio Bacelar Vilar'],1,PS,0,0,PS,1,1,16.28,0,17.1,790,"{'availableMandates': 0, 'blankVotes': 125, 'blankVotesPercentage': 2.58, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 107, 'nullVotesPercentage': 2.21, 'numberParishes': 4, 'numberVoters': 4852, 'percentageVoters': 48.19}",Murtosa,Aveiro,0,125,2.58,,False,107,2.21,4,4852,48.19
42,['Diogo André Silva Barbosa'],0,B.E.,0,0,B.E.,1,0,2.04,0,2.19,702,"{'availableMandates': 0, 'blankVotes': 1372, 'blankVotesPercentage': 3.99, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 919, 'nullVotesPercentage': 2.67, 'numberParishes': 12, 'numberVoters': 34414, 'percentageVoters': 56.17}",Oliveira de Azeméis,Aveiro,0,1372,3.99,,False,919,2.67,12,34414,56.17
43,['Miguel Angelo de Carvalho Santos Portela'],0,CDS-PP,0,0,CDS-PP,1,0,7.36,0,7.88,2532,"{'availableMandates': 0, 'blankVotes': 1372, 'blankVotesPercentage': 3.99, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 919, 'nullVotesPercentage': 2.67, 'numberParishes': 12, 'numberVoters': 34414, 'percentageVoters': 56.17}",Oliveira de Azeméis,Aveiro,0,1372,3.99,,False,919,2.67,12,34414,56.17
44,['João Miguel Tavares Carmo'],0,PCP - PEV,0,0,PCP - PEV,1,0,2.84,0,3.04,977,"{'availableMandates': 0, 'blankVotes': 1372, 'blankVotesPercentage': 3.99, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 919, 'nullVotesPercentage': 2.67, 'numberParishes': 12, 'numberVoters': 34414, 'percentageVoters': 56.17}",Oliveira de Azeméis,Aveiro,0,1372,3.99,,False,919,2.67,12,34414,56.17
45,['Hermínio José Sobral de Loureiro Gonçalves'],5,PPD/PSD,1,1,PPD/PSD,1,5,41.55,1,44.51,14298,"{'availableMandates': 0, 'blankVotes': 1372, 'blankVotesPercentage': 3.99, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 919, 'nullVotesPercentage': 2.67, 'numberParishes': 12, 'numberVoters': 34414, 'percentageVoters': 56.17}",Oliveira de Azeméis,Aveiro,0,1372,3.99,,False,919,2.67,12,34414,56.17
46,['Joaquim Jorge Ferreira'],4,PS,0,0,PS,1,4,39.56,0,42.38,13614,"{'availableMandates': 0, 'blankVotes': 1372, 'blankVotesPercentage': 3.99, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 919, 'nullVotesPercentage': 2.67, 'numberParishes': 12, 'numberVoters': 34414, 'percentageVoters': 56.17}",Oliveira de Azeméis,Aveiro,0,1372,3.99,,False,919,2.67,12,34414,56.17
47,['Paulo Jorge Caiado Santos'],3,CDS-PP,0,0,CDS-PP,1,3,37.35,0,40.21,4068,"{'availableMandates': 0, 'blankVotes': 452, 'blankVotesPercentage': 4.15, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 323, 'nullVotesPercentage': 2.97, 'numberParishes': 4, 'numberVoters': 10891, 'percentageVoters': 51.8}",Oliveira do Bairro,Aveiro,0,452,4.15,,False,323,2.97,4,10891,51.8
48,['Artur Pereira Ramísio'],0,PCP - PEV,0,0,PCP - PEV,1,0,2.84,0,3.05,309,"{'availableMandates': 0, 'blankVotes': 452, 'blankVotesPercentage': 4.15, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 323, 'nullVotesPercentage': 2.97, 'numberParishes': 4, 'numberVoters': 10891, 'percentageVoters': 51.8}",Oliveira do Bairro,Aveiro,0,452,4.15,,False,323,2.97,4,10891,51.8
49,['Mário João Ferreira da Silva Oliveira'],4,PPD/PSD,1,1,PPD/PSD,1,4,44.06,1,47.44,4799,"{'availableMandates': 0, 'blankVotes': 452, 'blankVotesPercentage': 4.15, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 323, 'nullVotesPercentage': 2.97, 'numberParishes': 4, 'numberVoters': 10891, 'percentageVoters': 51.8}",Oliveira do Bairro,Aveiro,0,452,4.15,,False,323,2.97,4,10891,51.8
50,['Manuel Ferreira Bôrras'],0,PS,0,0,PS,1,0,8.63,0,9.29,940,"{'availableMandates': 0, 'blankVotes': 452, 'blankVotesPercentage': 4.15, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 323, 'nullVotesPercentage': 2.97, 'numberParishes': 4, 'numberVoters': 10891, 'percentageVoters': 51.8}",Oliveira do Bairro,Aveiro,0,452,4.15,,False,323,2.97,4,10891,51.8
51,['Pedro Miguel Moreira Rodrigues'],0,B.E.,0,0,B.E.,1,0,4.77,0,5.14,1218,"{'availableMandates': 0, 'blankVotes': 1133, 'blankVotesPercentage': 4.44, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 729, 'nullVotesPercentage': 2.85, 'numberParishes': 5, 'numberVoters': 25541, 'percentageVoters': 51.3}",Ovar,Aveiro,0,1133,4.44,,False,729,2.85,5,25541,51.3
52,['António Manuel França de Jesus'],0,CDS-PP,0,0,CDS-PP,1,0,2.95,0,3.18,753,"{'availableMandates': 0, 'blankVotes': 1133, 'blankVotesPercentage': 4.44, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 729, 'nullVotesPercentage': 2.85, 'numberParishes': 5, 'numberVoters': 25541, 'percentageVoters': 51.3}",Ovar,Aveiro,0,1133,4.44,,False,729,2.85,5,25541,51.3
53,['Dinis de Pinho Silveira'],0,PCP - PEV,0,0,PCP - PEV,1,0,6.01,0,6.48,1535,"{'availableMandates': 0, 'blankVotes': 1133, 'blankVotesPercentage': 4.44, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 729, 'nullVotesPercentage': 2.85, 'numberParishes': 5, 'numberVoters': 25541, 'percentageVoters': 51.3}",Ovar,Aveiro,0,1133,4.44,,False,729,2.85,5,25541,51.3
54,['Salvador Malheiro Ferreira da Silva'],4,PPD/PSD,1,1,PPD/PSD,1,4,43.86,1,47.31,11202,"{'availableMandates': 0, 'blankVotes': 1133, 'blankVotesPercentage': 4.44, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 729, 'nullVotesPercentage': 2.85, 'numberParishes': 5, 'numberVoters': 25541, 'percentageVoters': 51.3}",Ovar,Aveiro,0,1133,4.44,,False,729,2.85,5,25541,51.3
55,['Vítor Manuel Gouveia Ferreira'],3,PS,0,0,PS,1,3,35.12,0,37.89,8971,"{'availableMandates': 0, 'blankVotes': 1133, 'blankVotesPercentage': 4.44, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 729, 'nullVotesPercentage': 2.85, 'numberParishes': 5, 'numberVoters': 25541, 'percentageVoters': 51.3}",Ovar,Aveiro,0,1133,4.44,,False,729,2.85,5,25541,51.3
56,['António Manuel Mendes Torres'],0,B.E.,0,0,B.E.,1,0,4.01,0,4.36,2792,"{'availableMandates': 0, 'blankVotes': 3593, 'blankVotesPercentage': 5.16, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 2068, 'nullVotesPercentage': 2.97, 'numberParishes': 21, 'numberVoters': 69667, 'percentageVoters': 55.41}",Santa Maria da Feira,Aveiro,0,3593,5.16,,False,2068,2.97,21,69667,55.41
57,['Manuel José Alferes Pereira'],0,CDS-PP,0,0,CDS-PP,1,0,3.84,0,4.18,2675,"{'availableMandates': 0, 'blankVotes': 3593, 'blankVotesPercentage': 5.16, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 2068, 'nullVotesPercentage': 2.97, 'numberParishes': 21, 'numberVoters': 69667, 'percentageVoters': 55.41}",Santa Maria da Feira,Aveiro,0,3593,5.16,,False,2068,2.97,21,69667,55.41
58,['Antero de Oliveira Resende'],0,PCP - PEV,0,0,PCP - PEV,1,0,4.24,0,4.62,2955,"{'availableMandates': 0, 'blankVotes': 3593, 'blankVotesPercentage': 5.16, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 2068, 'nullVotesPercentage': 2.97, 'numberParishes': 21, 'numberVoters': 69667, 'percentageVoters': 55.41}",Santa Maria da Feira,Aveiro,0,3593,5.16,,False,2068,2.97,21,69667,55.41
59,['Emídio Ferreira dos Santos Sousa'],6,PPD/PSD,1,1,PPD/PSD,1,6,44.52,1,48.46,31019,"{'availableMandates': 0, 'blankVotes': 3593, 'blankVotesPercentage': 5.16, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 2068, 'nullVotesPercentage': 2.97, 'numberParishes': 21, 'numberVoters': 69667, 'percentageVoters': 55.41}",Santa Maria da Feira,Aveiro,0,3593,5.16,,False,2068,2.97,21,69667,55.41
