,effectiveCandidates,mandates,party,presidents,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
0,['Rui Manuel Pinto Chagas Câncio Ferreira'],0,B.E.,0,0,B.E.,1,0,1.55,0,1.63,203,"{'availableMandates': 0, 'blankVotes': 387, 'blankVotesPercentage': 2.95, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 2.11, 'numberParishes': 6, 'numberVoters': 13110, 'percentageVoters': 57.47}",Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47
1,['António Augusto Amaral Loureiro e Santos'],4,CDS-PP,1,1,CDS-PP,1,4,43.49,1,45.8,5701,"{'availableMandates': 0, 'blankVotes': 387, 'blankVotesPercentage': 2.95, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 2.11, 'numberParishes': 6, 'numberVoters': 13110, 'percentageVoters': 57.47}",Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47
2,['Bruno Miguel Alves Bento'],0,PCP - PEV,0,0,PCP - PEV,1,0,2.89,0,3.04,379,"{'availableMandates': 0, 'blankVotes': 387, 'blankVotesPercentage': 2.95, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 2.11, 'numberParishes': 6, 'numberVoters': 13110, 'percentageVoters': 57.47}",Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47
3,['José Licínio Tavares Pimenta'],3,PPD/PSD,0,0,PPD/PSD,1,3,37.05,0,39.02,4857,"{'availableMandates': 0, 'blankVotes': 387, 'blankVotesPercentage': 2.95, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 2.11, 'numberParishes': 6, 'numberVoters': 13110, 'percentageVoters': 57.47}",Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47
4,['Elísio Apolinário Simões da Silva'],0,PS,0,0,PS,1,0,9.97,0,10.5,1307,"{'availableMandates': 0, 'blankVotes': 387, 'blankVotesPercentage': 2.95, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 2.11, 'numberParishes': 6, 'numberVoters': 13110, 'percentageVoters': 57.47}",Albergaria-a-Velha,Aveiro,0,387,2.95,,False,276,2.11,6,13110,57.47
5,['João Tiago Castelo Branco Charuca de Azevedo'],0,CDS-PP,0,0,CDS-PP,1,0,3.61,0,3.87,556,"{'availableMandates': 0, 'blankVotes': 586, 'blankVotesPercentage': 3.81, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 426, 'nullVotesPercentage': 2.77, 'numberParishes': 10, 'numberVoters': 15395, 'percentageVoters': 54.16}",Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16
6,['Maria Teresa Belém Correia Cardoso'],3,III,1,0,III,1,3,41.42,1,44.34,6377,"{'availableMandates': 0, 'blankVotes': 586, 'blankVotesPercentage': 3.81, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 426, 'nullVotesPercentage': 2.77, 'numberParishes': 10, 'numberVoters': 15395, 'percentageVoters': 54.16}",Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16
7,['Maria de Fátima Gomes Martins da Costa Henriques Flores'],0,PCP - PEV,0,0,PCP - PEV,1,0,3.09,0,3.31,476,"{'availableMandates': 0, 'blankVotes': 586, 'blankVotesPercentage': 3.81, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 426, 'nullVotesPercentage': 2.77, 'numberParishes': 10, 'numberVoters': 15395, 'percentageVoters': 54.16}",Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16
8,['José Manuel Ferreira Nunes Ribeiro'],3,PPD/PSD,0,0,PPD/PSD,1,3,31.48,0,33.69,4846,"{'availableMandates': 0, 'blankVotes': 586, 'blankVotesPercentage': 3.81, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 426, 'nullVotesPercentage': 2.77, 'numberParishes': 10, 'numberVoters': 15395, 'percentageVoters': 54.16}",Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16
9,['Lino Jorge Cerveira Pintado'],1,PS,0,0,PS,1,1,13.82,0,14.8,2128,"{'availableMandates': 0, 'blankVotes': 586, 'blankVotesPercentage': 3.81, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 426, 'nullVotesPercentage': 2.77, 'numberParishes': 10, 'numberVoters': 15395, 'percentageVoters': 54.16}",Anadia,Aveiro,0,586,3.81,,False,426,2.77,10,15395,54.16
